id,question,answer,ground_truth,retrieved_sources,gold_sources,latency_s,semantic_similarity,answer_correct,rouge_l,token_f1,hit_rate,mrr,precision_at_k,context_recall
q11,Why must the same embedding model be used for documents and queries?,"A key practical detail is that the same embedding model must be used to encode
both the documents and the queries. Embeddings are typically computed
once for the corpus, stored in a vector database, and reused across many queries.",Because mixing different embedding models breaks the shared geometry of the vector space and destroys retrieval quality.,"[""embeddings.txt"", ""retrieval_augmented_generation.txt"", ""embeddings.txt"", ""rag_evaluation.txt""]","[""embeddings.txt""]",0.002,0.0869,0.0,0.1786,0.1786,1.0,1.0,0.5,1.0
q12,What does the HNSW algorithm do in a vector database?,"Embeddings are typically computed
once for the corpus, stored in a vector database, and reused across many queries. During indexing, documents
are loaded, split into chunks, embedded, and stored in a vector database.","HNSW, Hierarchical Navigable Small World, builds a multi-layer graph for approximate nearest-neighbor search, giving sub-linear query time with high recall.","[""vector_databases.txt"", ""embeddings.txt"", ""vector_databases.txt"", ""retrieval_augmented_generation.txt""]","[""vector_databases.txt""]",0.002,0.0,0.0,0.0357,0.0714,1.0,1.0,0.5,1.0
q13,Why is Chroma convenient for local API-free projects?,"By default Chroma uses cosine distance and
the HNSW index, which makes it a convenient choice for prototypes and portfolio
projects. Sentence-Transformers models such as all-MiniLM-L6-v2
produce 384-dimensional vectors and offer an excellent balance between speed and
quality, which makes them popular for local, API-free retrieval systems.","Chroma is an open-source vector database that runs locally with no API key, persists embeddings to disk, supports metadata filtering, and integrates with LangChain.","[""vector_databases.txt"", ""embeddings.txt"", ""large_language_models.txt"", ""neural_networks.txt""]","[""vector_databases.txt""]",0.002,0.0822,0.0,0.0769,0.1026,1.0,1.0,0.25,1.0
q14,What are the two stages of a RAG pipeline?,"A RAG pipeline has two stages: indexing and querying. Instead of relying only on what
the model memorized during training, RAG retrieves relevant documents at query
time and inserts them into the prompt as context.","The two stages are indexing, where documents are loaded, chunked, embedded and stored, and querying, where the question is embedded, similar chunks are retrieved, and the model generates an answer from them.","[""retrieval_augmented_generation.txt"", ""rag_evaluation.txt"", ""retrieval_augmented_generation.txt"", ""large_language_models.txt""]","[""retrieval_augmented_generation.txt""]",0.002,0.2651,0.0,0.2388,0.3284,1.0,1.0,0.5,1.0
q15,How does RAG help reduce hallucinations?,"# Retrieval-Augmented Generation

Retrieval-Augmented Generation, or RAG, is a technique that connects a large
language model to an external knowledge source. Instead of relying only on what
the model memorized during training, RAG retrieves relevant documents at query
time and inserts them into the prompt as context.","RAG retrieves relevant documents at query time and inserts them into the prompt as context, grounding the answer in real data rather than only the model's memorized knowledge.","[""retrieval_augmented_generation.txt"", ""machine_learning.txt"", ""rag_evaluation.txt"", ""neural_networks.txt""]","[""retrieval_augmented_generation.txt""]",0.002,0.556,0.0,0.3896,0.5195,1.0,1.0,0.25,1.0
q16,What is quantization and what is its benefit for running LLMs?,"Quantization reduces the numerical precision of model weights, for example from
16 bits to 4 bits. Regularization methods for neural networks include dropout, which randomly
deactivates neurons during training, and batch normalization, which stabilizes
and accelerates training by normalizing layer activations.","Quantization reduces the numerical precision of model weights, for example from 16 bits to 4 bits, which lowers memory usage and speeds up inference so capable models can run on consumer hardware.","[""large_language_models.txt"", ""neural_networks.txt"", ""neural_networks.txt"", ""retrieval_augmented_generation.txt""]","[""large_language_models.txt""]",0.002,0.4673,0.0,0.4932,0.4932,1.0,1.0,0.25,1.0
q17,What does the temperature setting control during LLM inference?,"This dramatically lowers memory usage and speeds up inference,
at the cost of a small reduction in quality, allowing capable models to run on
consumer hardware. Two important inference settings are temperature and context window.","Temperature controls randomness: a value near zero makes output deterministic and focused, while higher values increase diversity and creativity.","[""large_language_models.txt"", ""machine_learning.txt"", ""large_language_models.txt"", ""transformers.txt""]","[""large_language_models.txt""]",0.002,0.0628,0.0,0.0741,0.1481,1.0,1.0,0.5,1.0
q18,What does Hit Rate at k measure when evaluating retrieval?,"Hit Rate at k measures
whether at least one relevant document appears in the top k results. Instead of relying only on what
the model memorized during training, RAG retrieves relevant documents at query
time and inserts them into the prompt as context.",Hit Rate at k measures whether at least one relevant document appears in the top k retrieved results.,"[""rag_evaluation.txt"", ""retrieval_augmented_generation.txt"", ""embeddings.txt"", ""neural_networks.txt""]","[""rag_evaluation.txt""]",0.002,0.6339,1.0,0.5574,0.5574,1.0,1.0,0.25,1.0
q19,What four core metrics does the RAGAS framework use?,"The RAGAS framework popularized a reference-light evaluation approach using four
core metrics: faithfulness, answer relevancy, context precision, and context
recall. Generation is evaluated with metrics that compare the produced answer to a
reference or to the retrieved context.","RAGAS uses faithfulness, answer relevancy, context precision, and context recall.","[""rag_evaluation.txt"", ""rag_evaluation.txt"", ""neural_networks.txt"", ""transformers.txt""]","[""rag_evaluation.txt""]",0.002,0.555,0.0,0.3673,0.3673,1.0,1.0,0.5,1.0
q20,What does faithfulness measure in RAG generation evaluation?,"The RAGAS framework popularized a reference-light evaluation approach using four
core metrics: faithfulness, answer relevancy, context precision, and context
recall. Beyond quality, practical evaluation also tracks latency and cost, since
an accurate system that is too slow or too expensive may be unusable in
production.",Faithfulness measures whether the generated answer is supported by the retrieved context and penalizes hallucination.,"[""rag_evaluation.txt"", ""retrieval_augmented_generation.txt"", ""rag_evaluation.txt"", ""retrieval_augmented_generation.txt""]","[""rag_evaluation.txt""]",0.002,0.1735,0.0,0.1311,0.1967,1.0,1.0,0.5,1.0
